rank,title_lengths,age_in_hours,points,comment_counts
1,74,1,48,11
2,93,14,848,157
3,80,0,7,0
4,78,2,40,20
5,34,11,295,290
6,85,17,690,199
7,35,9,157,240
8,81,5,40,25
9,71,6,62,23
10,62,4,40,3
11,47,7,56,5
12,48,2,7,0
13,41,10,121,18
14,42,11,144,337
15,78,5,0,0
16,61,13,276,83
17,91,3,19,7
18,58,7,124,114
19,56,9,178,127
20,90,9,66,39
21,88,12,129,112
22,94,10,60,3
23,79,12,70,28
24,72,13,335,143
25,80,9,75,13
26,51,4,17,4
27,55,5,24,23
28,64,15,110,29
29,67,13,58,36
30,43,11,71,19
31,57,5,21,2
32,72,24,199,55
33,63,10,80,38
34,44,24,128,44
35,75,11,68,23
36,68,9,38,22
37,75,24,502,118
38,66,4,98,84
39,62,8,64,44
40,94,0,4,0
41,73,5,59,22
42,57,15,38,20
43,68,8,24,7
44,67,3,32,0
45,75,17,149,113
46,73,18,372,61
47,74,13,45,4
48,69,11,22,0
49,92,3,23,2
50,92,2,21,12
51,55,21,108,37
52,87,11,15,0
53,36,22,163,22
54,73,2,7,0
55,73,10,113,30
56,90,5,53,16
57,62,2,5,0
58,91,5,25,3
59,57,8,103,115
60,23,8,19,0
61,62,12,15,0
62,56,5,77,31
63,93,2,4,0
64,75,9,8,0
65,69,7,6,6
66,61,23,329,57
67,76,0,7,0
68,91,1,9,0
69,72,4,20,18
70,61,7,19,17
71,35,3,5,0
72,98,3,6,2
73,66,8,29,23
74,92,11,53,16
75,67,7,14,7
76,77,9,30,5
77,54,7,23,7
78,35,7,132,83
79,47,24,170,177
80,94,7,53,12
81,82,9,25,39
82,77,24,119,12
83,68,10,28,4
84,58,9,34,0
85,79,24,287,125
86,96,10,29,16
87,92,24,133,81
88,69,7,7,0
89,72,24,54,20
90,83,24,210,61
91,39,10,144,149
92,89,14,48,6
93,104,7,156,36
94,97,7,17,3
95,80,48,133,31
96,52,24,481,628
97,60,7,72,86
98,61,24,131,50
99,74,5,78,121
100,92,1,7,3
101,63,7,28,5
102,96,2,8,0
103,42,24,234,161
104,91,24,173,47
105,20,24,190,50
106,46,24,139,17
107,87,7,12,0
108,74,24,61,12
109,62,22,319,274
110,70,7,8,3
111,60,9,11,0
112,53,48,123,91
113,94,7,10,5
114,95,2,8,0
115,70,24,128,31
116,57,72,748,113
117,77,48,266,15
118,59,24,64,30
119,79,48,95,79
120,85,24,55,14
121,89,24,179,40
122,86,9,13,0
123,74,48,143,20
124,87,24,24,0
125,39,4,18,3
126,77,21,51,12
127,59,23,88,68
128,51,48,124,14
129,51,11,33,83
130,82,48,132,159
131,31,24,527,330
132,68,7,7,4
133,50,24,103,28
134,66,24,268,142
135,76,15,3,0
136,93,24,95,13
137,69,24,81,10
138,82,48,187,101
139,89,10,15,2
140,82,24,23,2
141,56,9,7,2
142,35,48,237,50
143,92,6,4,2
144,65,10,17,5
145,45,4,28,10
146,81,48,100,70
147,60,48,351,93
148,43,48,50,4
149,89,10,8,0
150,23,9,31,17
